message,label
"Exclusive offer! Flat Rs 35,387 cashback on first purchase. T&C apply.",0
Your OTP for login is 135430. Do not share it with anyone.,0
"Your A/c XX2562 has been debited by Rs 42,268.04 towards payment to Amazon.",1
"Exclusive offer! Flat Rs 119,137 cashback on first purchase. T&C apply.",0
"Congratulations! Get Rs 150,116 OFF on your next recharge. Use code SAVE901.",0
"बधाई हो! आप Google Gemini के Rs. 75,657 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"INR 169,685 received in your Paytm Wallet from PhonePe.",1
"OTP ALERT: txn of Rs 10,222.64 debited from A/c XX8271 using UPI.",1
"You have spent Rs.82,975 at Zomato on 05-Oct. A/c XX6797.",1
Your OTP for login is 148826. Do not share it with anyone.,0
"Congratulations! Get Rs 41,656.41 OFF on your next recharge. Use code SAVE185.",0
Your OTP for login is 435968. Do not share it with anyone.,0
Your order #7877 has been shipped and will be delivered by 16-Jan.,0
Reminder: Your appointment is scheduled for 3 PM.,0
"INR 164,446 received in your Paytm Wallet from Priya.",1
"You have spent Rs.26,675 at Swiggy on 12-Apr. A/c XX2060.",1
"Congratulations! Get Rs 188,001 OFF on your next recharge. Use code SAVE588.",0
"SBI: Your A/c XX1701 debited by INR 4,313 on 13-Feb for UPI txn.",1
Your order #5493 has been shipped and will be delivered by 22-Jun.,0
"IMPS of Rs 5,313 successful to A/c ending 6094. Ref 1979069637.",1
Reminder: Your appointment is scheduled for 3 PM.,0
"INR 55,053 received in your Paytm Wallet from Priya.",1
"Your A/c XX4005 has been debited by Rs 192,225 towards payment to Swiggy.",1
"IMPS of Rs 64,027 successful to A/c ending 6224. Ref 7383213464.",1
"Payment of INR 38,709.02 received from Zomato into A/c XX8511.",1
"Your A/c XX9568 has been debited by Rs 42,957 towards payment to Amazon.",1
"OTP ALERT: txn of Rs 8,015.18 debited from A/c XX4798 using UPI.",1
"Exclusive offer! Flat Rs 36,449.33 cashback on first purchase. T&C apply.",0
"OTP ALERT: txn of Rs 89,885 debited from A/c XX3525 using UPI.",1
Your OTP for login is 579444. Do not share it with anyone.,0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"IMPS of Rs 11,143.10 successful to A/c ending 4850. Ref 2924568778.",1
Your OTP for login is 405500. Do not share it with anyone.,0
"Offer: Refer & earn Rs 22,185.63 when your friend signs up. Use code REFER100.",0
"INR 163,865 received in your Paytm Wallet from Neha.",1
"SBI: Your A/c XX9286 debited by INR 109,303 on 05-Aug for UPI txn.",1
"Rs 82,080 credited to your A/c XX7843 via NEFT. Available balance Rs 112,415.",1
Your OTP for login is 374864. Do not share it with anyone.,0
Reminder: Your appointment is scheduled for tomorrow.,0
"IMPS of Rs 126,494 successful to A/c ending 8483. Ref 5594799319.",1
"Rs 116,553 credited to your A/c XX5606 via NEFT. Available balance Rs 37,159.79.",1
"Offer: Refer & earn Rs 58,399 when your friend signs up. Use code WELCOME50.",0
Your OTP for login is 580961. Do not share it with anyone.,0
"Congratulations! Get Rs 8,512 OFF on your next recharge. Use code SAVE314.",0
"INR 25,720.79 received in your Paytm Wallet from Swiggy.",1
"IMPS of Rs 17,095.89 successful to A/c ending 2438. Ref 6271763012.",1
Reminder: Your appointment is scheduled for 10 AM.,0
"Offer: Refer & earn Rs 84,883 when your friend signs up. Use code REFER100.",0
"AxisBk: INR 183,647 credited to A/c XX6139 on 14-Mar by NEFT from Ankit. UTR 326303975452. Bal Rs.956.68.",1
"Exclusive offer! Flat Rs 121,330 cashback on first purchase. T&C apply.",0
"Rs 179,438 credited to your A/c XX3140 via NEFT. Available balance Rs 190,661.",1
"Rs 128,361 credited to your A/c XX8805 via NEFT. Available balance Rs 101,745.",1
"AxisBk: INR 184,725 credited to A/c XX8605 on 17-Jul by NEFT from Google Pay. UTR 237108556987. Bal Rs.18,423.91.",1
"Hi Amit, your KYC is pending. Please update within 7 days.",0
"OTP ALERT: txn of Rs 49,783 debited from A/c XX3525 using UPI.",1
"You have spent Rs.4,891 at Flipkart on 08-Sep. A/c XX2663.",1
"Flash Sale: Get up to Rs 141,792 off. Visit oziva.me/iOZIVA/TJOUt to claim the discount.",0
Your order #3887 has been shipped and will be delivered by 14-Sep.,0
Your OTP for login is 871139. Do not share it with anyone.,0
"Offer: Refer & earn Rs 31,918.68 when your friend signs up. Use code WELCOME50.",0
"AxisBk: INR 121,383 credited to A/c XX7948 on 18-Jul by NEFT from Neha. UTR 603574229747. Bal Rs.142,733.",1
Your OTP for login is 375016. Do not share it with anyone.,0
"AxisBk: INR 32,530 credited to A/c XX8020 on 25-Apr by NEFT from PhonePe. UTR 164765485360. Bal Rs.193,449.",1
Your OTP for login is 293751. Do not share it with anyone.,0
"Your A/c XX7402 has been debited by Rs 24,717.31 towards payment to Flipkart.",1
"Hi Amit, your KYC is pending. Please update within 7 days.",0
"Flash Sale: Get up to Rs 3,740 off. Visit bit.ly/deal123 to claim the discount.",0
"HDFC Bank: UPI: Rs.3,232.96 transferred to Rahul. Ref 7759781156. A/c XX3110. Avl Bal Rs.116,252.",1
"Your A/c XX9108 has been debited by Rs 114,417 towards payment to Uber.",1
"INR 5,698 received in your Paytm Wallet from Paytm.",1
"IMPS of Rs 8,175 successful to A/c ending 7580. Ref 9202102595.",1
"INR 175,874 received in your Paytm Wallet from Rahul.",1
"Hi Ankit, your KYC is pending. Please update within 7 days.",0
Reminder: Your appointment is scheduled for tomorrow.,0
"Exclusive offer! Flat Rs 21,167.11 cashback on first purchase. T&C apply.",0
"Payment of INR 51,316 received from Zomato into A/c XX5687.",1
"SBI: Your A/c XX4594 debited by INR 123,588 on 27-Jul for UPI txn.",1
"Congratulations! Get Rs 189,377 OFF on your next recharge. Use code SAVE795.",0
"Your A/c XX9626 has been debited by Rs 42,222.98 towards payment to OLA.",1
"Offer: Refer & earn Rs 173,779 when your friend signs up. Use code WELCOME50.",0
"Rs 131,440 credited to your A/c XX2695 via NEFT. Available balance Rs 3,103.07.",1
"Rs 88,234 credited to your A/c XX6164 via NEFT. Available balance Rs 89,945.",1
"बधाई हो! आप Google Gemini के Rs. 46,815.22 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"SBI: Your A/c XX5451 debited by INR 116,967 on 27-Jun for UPI txn.",1
"Rs 178 credited to your A/c XX5641 via NEFT. Available balance Rs 6,894.56.",1
SBI: Your A/c XX4492 debited by INR 194.82 on 08-Aug for UPI txn.,1
"INR 124,494 received in your Paytm Wallet from Suman.",1
"You have spent Rs.40,306.19 at Zomato on 16-Oct. A/c XX7597.",1
Your order #1667 has been shipped and will be delivered by 05-Jun.,0
"HDFC Bank: UPI: Rs.195,199 transferred to Paytm. Ref 5819946657. A/c XX1982. Avl Bal Rs.34,118.",1
Your OTP for login is 139486. Do not share it with anyone.,0
"OTP ALERT: txn of Rs 2,938.66 debited from A/c XX6145 using UPI.",1
"Payment of INR 40,431 received from Amit into A/c XX6531.",1
"IMPS of Rs 12,325 successful to A/c ending 7825. Ref 1231078662.",1
"INR 113,129 received in your Paytm Wallet from Swiggy.",1
"Exclusive offer! Flat Rs 194,006 cashback on first purchase. T&C apply.",0
"INR 170,863 received in your Paytm Wallet from PhonePe.",1
"OTP ALERT: txn of Rs 38,973 debited from A/c XX5767 using UPI.",1
"Exclusive offer! Flat Rs 49,293 cashback on first purchase. T&C apply.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Exclusive offer! Flat Rs 194,563 cashback on first purchase. T&C apply.",0
"You have spent Rs.162,762 at Dominos on 26-Jan. A/c XX3255.",1
"Flash Sale: Get up to Rs 37,751.34 off. Visit example.com/deal to claim the discount.",0
"Hi Paytm, your KYC is pending. Please update within 7 days.",0
"AxisBk: INR 18,726.54 credited to A/c XX6201 on 11-Mar by NEFT from PhonePe. UTR 576710571196. Bal Rs.194,323.",1
"बधाई हो! आप Google Gemini के Rs. 10,920.50 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Offer: Refer & earn Rs 95,050 when your friend signs up. Use code SAVE20.",0
"OTP ALERT: txn of Rs 2,247 debited from A/c XX6679 using UPI.",1
"AxisBk: INR 52,208 credited to A/c XX5292 on 24-Mar by NEFT from Priya. UTR 709230520344. Bal Rs.8,715.59.",1
"AxisBk: INR 88,758 credited to A/c XX8612 on 23-Aug by NEFT from Google Pay. UTR 989841108290. Bal Rs.45,908.",1
Reminder: Your appointment is scheduled for 6 PM.,0
"Rs 179,431 credited to your A/c XX6605 via NEFT. Available balance Rs 33,918.73.",1
"Hi Rahul, your KYC is pending. Please update within 7 days.",0
"Offer: Refer & earn Rs 157,767 when your friend signs up. Use code WELCOME50.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"SBI: Your A/c XX7824 debited by INR 96,572 on 19-May for UPI txn.",1
"Exclusive offer! Flat Rs 180,438 cashback on first purchase. T&C apply.",0
"INR 16,710 received in your Paytm Wallet from PhonePe.",1
Your OTP for login is 699070. Do not share it with anyone.,0
"You have spent Rs.32,170.47 at Uber on 04-Jan. A/c XX5243.",1
"INR 4,319.78 received in your Paytm Wallet from Zomato.",1
"Rs 11,084.07 credited to your A/c XX5533 via NEFT. Available balance Rs 114,337.",1
Your OTP for login is 685222. Do not share it with anyone.,0
"Hi Neha, your KYC is pending. Please update within 7 days.",0
"OTP ALERT: txn of Rs 184,588 debited from A/c XX2791 using UPI.",1
"Payment of INR 101,760 received from Swiggy into A/c XX6980.",1
"Flash Sale: Get up to Rs 146,503 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"HDFC Bank: UPI: Rs.137,311 transferred to Karan. Ref 3431702140. A/c XX1358. Avl Bal Rs.132,096.",1
"Exclusive offer! Flat Rs 21,425.75 cashback on first purchase. T&C apply.",0
"HDFC Bank: UPI: Rs.27,761 transferred to Karan. Ref 6246612046. A/c XX9584. Avl Bal Rs.29,447.68.",1
"IMPS of Rs 199,293 successful to A/c ending 2647. Ref 6065662867.",1
"SBI: Your A/c XX5723 debited by INR 6,804.26 on 18-Dec for UPI txn.",1
Your OTP for login is 492367. Do not share it with anyone.,0
"Hi Ankit, your KYC is pending. Please update within 7 days.",0
"Payment of INR 196,191 received from Suman into A/c XX4571.",1
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Payment of INR 5,291.83 received from Priya into A/c XX7660.",1
"Exclusive offer! Flat Rs 156,369 cashback on first purchase. T&C apply.",0
"Hi PhonePe, your KYC is pending. Please update within 7 days.",0
"You have spent Rs.173,071 at BigBasket on 21-Dec. A/c XX1947.",1
"Hi Priya, your KYC is pending. Please update within 7 days.",0
Reminder: Your appointment is scheduled for 6 PM.,0
"बधाई हो! आप Google Gemini के Rs. 33,149 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"IMPS of Rs 136,400 successful to A/c ending 8105. Ref 4221721910.",1
"Your A/c XX5055 has been debited by Rs 113,682 towards payment to BigBasket.",1
"Exclusive offer! Flat Rs 170,062 cashback on first purchase. T&C apply.",0
"Rs 47,174 credited to your A/c XX1138 via NEFT. Available balance Rs 2,782.",1
"INR 40,294 received in your Paytm Wallet from Priya.",1
"Hi Suman, your KYC is pending. Please update within 7 days.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
Your OTP for login is 371426. Do not share it with anyone.,0
"INR 106,718 received in your Paytm Wallet from Ankit.",1
"Your A/c XX1625 has been debited by Rs 169,760 towards payment to Zomato.",1
"Flash Sale: Get up to Rs 20,758 off. Visit bit.ly/deal123 to claim the discount.",0
"IMPS of Rs 16,333.76 successful to A/c ending 7686. Ref 1133820039.",1
"Exclusive offer! Flat Rs 110,940 cashback on first purchase. T&C apply.",0
"IMPS of Rs 27,164 successful to A/c ending 5333. Ref 6464693977.",1
"Payment of INR 21,471 received from Rahul into A/c XX6927.",1
"AxisBk: INR 31,023 credited to A/c XX2036 on 25-Dec by NEFT from PhonePe. UTR 868994639369. Bal Rs.168,155.",1
"AxisBk: INR 89,640 credited to A/c XX7084 on 15-Dec by NEFT from Swiggy. UTR 460913562754. Bal Rs.130,661.",1
"AxisBk: INR 6,936 credited to A/c XX2448 on 25-Mar by NEFT from PhonePe. UTR 434607367662. Bal Rs.110,351.",1
"Congratulations! Get Rs 92,277 OFF on your next recharge. Use code SAVE124.",0
"HDFC Bank: UPI: Rs.44,500 transferred to Priya. Ref 1305517870. A/c XX2116. Avl Bal Rs.42,339.",1
"HDFC Bank: UPI: Rs.29,901 transferred to Google Pay. Ref 2014766981. A/c XX6724. Avl Bal Rs.50,840.",1
Reminder: Your appointment is scheduled for 6 PM.,0
"SBI: Your A/c XX3347 debited by INR 137,275 on 25-Feb for UPI txn.",1
Your OTP for login is 597529. Do not share it with anyone.,0
"AxisBk: INR 113,468 credited to A/c XX9328 on 25-Mar by NEFT from Zomato. UTR 291463433210. Bal Rs.126,607.",1
"You have spent Rs.19,209.49 at Zomato on 13-Nov. A/c XX6096.",1
"IMPS of Rs 67,125 successful to A/c ending 3301. Ref 8984358195.",1
"Flash Sale: Get up to Rs 34,357 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"Flash Sale: Get up to Rs 44,531 off. Visit bit.ly/deal123 to claim the discount.",0
"You have spent Rs.78,931 at Dominos on 18-Mar. A/c XX8555.",1
"Hi Suman, your KYC is pending. Please update within 7 days.",0
"बधाई हो! आप Google Gemini के Rs. 158,502 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"You have spent Rs.148,180 at Myntra on 22-Dec. A/c XX4346.",1
"HDFC Bank: UPI: Rs.14,486.87 transferred to PhonePe. Ref 2377154307. A/c XX8418. Avl Bal Rs.161,944.",1
"Hi Suman, your KYC is pending. Please update within 7 days.",0
"INR 122,959 received in your Paytm Wallet from Ramesh.",1
"Rs 21,309.32 credited to your A/c XX9783 via NEFT. Available balance Rs 68,508.",1
Your order #3576 has been shipped and will be delivered by 08-Oct.,0
"HDFC Bank: UPI: Rs.73,406 transferred to PhonePe. Ref 6939710069. A/c XX3075. Avl Bal Rs.28,187.35.",1
"बधाई हो! आप Google Gemini के Rs. 36,561 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Offer: Refer & earn Rs 37,725.77 when your friend signs up. Use code WELCOME50.",0
Your OTP for login is 322484. Do not share it with anyone.,0
Reminder: Your appointment is scheduled for 6 PM.,0
"Exclusive offer! Flat Rs 197,942 cashback on first purchase. T&C apply.",0
"AxisBk: INR 123,997 credited to A/c XX7325 on 22-Nov by NEFT from Suman. UTR 237597951504. Bal Rs.99,947.",1
Your order #2831 has been shipped and will be delivered by 24-Mar.,0
